"customer_id","signup_date","gender","age_group","city","acquisition_channel"
C100000,"2023-10-17",Male,"13-15",Rajahmundry,Google Ads
C100001,"2022-04-25",Female,"16-18",Rajahmundry,Organic
C100002,"2022-01-26",Female,"10-12",Hyderabad,Google Ads
C100003,"2024-01-30",Female,"13-15",Chennai,Organic
C100004,"2022-10-09",Male,"13-15",Chennai,Referral
C100005,"2022-09-08",Male,"16-18",Hyderabad,FB Ads
C100006,"2022-08-17",Male,"16-18",Bengaluru,Google Ads
C100007,"2022-05-23",Female,"10-12",Rajahmundry,Organic
C100008,"2024-01-25",Female,"13-15",Rajahmundry,Google Ads
C100009,"2022-04-15",Female,"10-12",Hyderabad,Google Ads
C100010,"2023-11-24",Male,"13-15",Hyderabad,FB Ads
C100011,"2024-01-29",Other,"10-12",Bengaluru,Google Ads
C100012,"2023-07-13",Female,"13-15",Delhi,FB Ads
C100013,"2022-03-31",Male,"13-15",Chennai,Referral
C100014,"2023-08-28",Male,"13-15",Vijayawada,FB Ads
C100015,"2023-03-09",Male,"13-15",Delhi,Referral
C100016,"2022-02-02",Male,"13-15",Chennai,Referral
C100017,"2022-01-31",Female,"13-15",Rajahmundry,FB Ads
C100018,"2022-04-06",Male,"10-12",Delhi,Organic
C100019,"2022-08-12",Male,"16-18",Hyderabad,FB Ads
C100020,"2022-08-27",Female,"10-12",Bengaluru,Referral
C100021,"2023-06-02",Male,"13-15",Chennai,Organic
C100022,"2023-09-09",Male,"13-15",Bengaluru,FB Ads
C100023,"2022-01-28",Male,"13-15",Chennai,Referral
C100024,"2023-07-29",Male,"10-12",Delhi,FB Ads
C100025,"2022-07-23",Female,"13-15",Rajahmundry,Google Ads
C100026,"2024-01-04",Male,"16-18",Vijayawada,Organic
C100027,"2023-10-28",Female,"13-15",Bengaluru,Organic
C100028,"2023-12-20",Female,"13-15",Bengaluru,Google Ads
C100029,"2023-07-13",Male,"13-15",Vijayawada,Organic
C100030,"2023-03-06",Female,"10-12",Bengaluru,Organic
C100031,"2022-08-14",Male,"13-15",Bengaluru,Referral
C100032,"2023-04-05",Male,"16-18",Chennai,Organic
C100033,"2023-08-27",Female,"10-12",Chennai,School Partnership
C100034,"2022-10-12",Other,"10-12",Vijayawada,School Partnership
C100035,"2024-04-08",Female,"10-12",Rajahmundry,Organic
C100036,"2024-06-09",Male,"13-15",Delhi,Organic
C100037,"2022-01-07",Male,"16-18",Delhi,Google Ads
C100038,"2024-02-17",Female,"10-12",Bengaluru,FB Ads
C100039,"2024-04-05",Male,"13-15",Rajahmundry,Organic
C100040,"2022-06-13",Male,"10-12",Vijayawada,Google Ads
