payment_id,customer_id,date,amount,payment_method
P1421245,C100000,2022-05-26,299,netbanking
P7112026,C100000,2022-12-05,2999,card
P7168827,C100000,2024-02-27,2999,upi
P6808136,C100000,2023-12-25,299,netbanking
P7418526,C100000,2024-01-13,299,netbanking
P3477463,C100000,2024-04-18,0,card
P9352129,C100001,2022-11-05,299,card
P7451873,C100001,2023-01-16,299,netbanking
P6789818,C100001,2024-03-26,299,card
P8425126,C100001,2024-01-21,299,netbanking
P4684950,C100001,2023-07-14,299,card
P4849306,C100001,2024-05-04,299,upi
P5075991,C100001,2023-09-01,299,upi
P5853401,C100001,2023-09-09,299,netbanking
P1494665,C100002,2022-03-15,299,card
P6890539,C100002,2023-08-16,299,card
P9465516,C100002,2022-03-23,0,upi
P8464517,C100003,2022-12-28,299,card
P8380145,C100003,2023-07-15,0,card
P4134097,C100003,2023-06-28,0,netbanking
P9880992,C100003,2024-03-15,299,upi
P1253768,C100003,2024-05-25,0,upi
P6706026,C100003,2023-11-27,2999,upi
P4021744,C100003,2023-05-09,299,card
P9552017,C100003,2024-01-14,299,netbanking
P8477568,C100004,2023-09-11,299,netbanking
P4331566,C100004,2023-06-15,299,upi
P2194298,C100004,2022-01-13,299,upi
P8250521,C100005,2023-09-09,299,netbanking
P7062712,C100005,2024-04-13,299,card
P9768275,C100005,2023-10-09,299,card
P7781556,C100005,2022-10-27,0,netbanking
P1297390,C100005,2024-02-14,299,netbanking
P8564635,C100005,2024-05-02,0,netbanking
P5904531,C100005,2024-02-11,299,upi
P8038964,C100005,2022-12-16,299,card
P6358337,C100006,2023-11-17,299,card
P7328180,C100006,2023-11-27,0,netbanking
P4509774,C100007,2022-01-04,2999,upi
P8507956,C100007,2022-06-10,299,card
P9963909,C100007,2022-04-12,299,netbanking
P9515685,C100007,2024-04-06,2999,upi
P6984113,C100007,2023-04-03,299,upi
P8583281,C100007,2023-06-17,299,netbanking
P6506432,C100007,2024-04-22,299,upi
P1534594,C100009,2024-06-10,2999,card
P3217236,C100009,2023-11-12,2999,card
P9147639,C100009,2022-02-05,299,netbanking
P3128585,C100009,2022-12-16,0,card
P5229253,C100009,2022-02-16,0,netbanking
P1788459,C100009,2023-02-14,2999,upi
P5823945,C100009,2023-04-19,2999,netbanking
P1350135,C100009,2022-08-02,0,upi
P5357073,C100010,2024-04-25,299,netbanking
P5217720,C100010,2023-06-30,299,netbanking
P9303563,C100010,2023-05-07,0,netbanking
P3814324,C100010,2022-07-14,299,upi
P3500567,C100010,2022-02-12,2999,card
P5284905,C100010,2022-11-02,2999,card
P9013889,C100011,2022-01-14,2999,card
P2698554,C100011,2022-08-30,2999,netbanking
P9116587,C100011,2023-08-11,2999,card
P1006984,C100011,2022-03-24,2999,netbanking
P4034567,C100012,2022-03-11,299,card
P7670013,C100014,2024-02-15,299,upi
P4016597,C100014,2023-05-16,0,card
P2208201,C100014,2023-09-18,2999,netbanking
P5239177,C100015,2023-09-26,2999,card
