subscription_id,customer_id,plan_type,start_date,end_date,price,auto_renew
S8948107,C100000,annual,2023-10-17,2024-03-23,2999,False
S9648751,C100000,trial,2024-04-25,2024-05-09,0,False
S6020319,C100001,annual,2022-04-25,2023-04-25,2999,True
S6029651,C100002,monthly,2022-01-26,2022-02-26,299,False
S7988386,C100003,annual,2024-01-30,2025-01-29,2999,False
S1447065,C100004,annual,2022-10-09,2023-10-09,2999,False
S4817541,C100005,trial,2022-09-08,2022-09-22,0,False
S7378535,C100006,monthly,2022-08-17,2022-09-05,299,False
S2843740,C100006,trial,2022-09-14,2022-09-28,0,True
S4420734,C100007,trial,2022-05-23,2022-06-06,0,True
S8912226,C100007,annual,2022-07-02,2023-07-02,2999,False
S9702060,C100008,trial,2024-01-25,2024-02-08,0,False
S3905518,C100009,monthly,2022-04-15,2022-05-16,299,True
S5435261,C100010,trial,2023-11-24,2023-12-08,0,True
S6007984,C100011,annual,2024-01-29,2025-01-28,2999,True
S9204110,C100012,monthly,2023-07-13,2023-08-12,299,False
S5587856,C100013,trial,2022-03-31,2022-04-14,0,False
S7619156,C100014,monthly,2023-08-28,2023-09-28,299,False
S5872986,C100014,monthly,2023-11-19,2023-12-19,299,False
S8421839,C100015,annual,2023-03-09,2024-03-08,2999,True
S5548852,C100016,monthly,2022-02-02,2022-03-04,299,False
S5014486,C100017,monthly,2022-01-31,2022-02-18,299,False
S4906349,C100018,trial,2022-04-06,2022-04-20,0,True
S2686863,C100018,monthly,2022-04-23,2022-05-21,299,False
S3649811,C100019,monthly,2022-08-12,2022-09-09,299,False
S5819172,C100020,monthly,2022-08-27,2022-09-26,299,True
S4896008,C100021,monthly,2023-06-02,2023-06-30,299,True
S3937099,C100022,annual,2023-09-09,2024-09-08,2999,True
S7660463,C100023,trial,2022-01-28,2022-02-08,0,False
S5856449,C100024,trial,2023-07-29,2023-08-12,0,False
S6621073,C100025,annual,2022-07-23,2023-07-23,2999,False
S9286475,C100025,monthly,2023-08-10,2023-09-09,299,True
S4234838,C100026,trial,2024-01-04,2024-01-18,0,True
S5316188,C100027,trial,2023-10-28,2023-11-04,0,False
S5949685,C100027,annual,2023-12-19,2024-12-18,2999,False
S7802999,C100028,annual,2023-12-20,2024-12-19,2999,False
S2600296,C100029,trial,2023-07-13,2023-07-27,0,True
S1114590,C100030,annual,2023-03-06,2024-03-05,2999,False
S6065810,C100031,monthly,2022-08-14,2022-09-13,299,False
S4964499,C100032,annual,2023-04-05,2023-12-01,2999,False
S9430894,C100033,monthly,2023-08-27,2023-09-26,299,True
S5949909,C100034,monthly,2022-10-12,2022-11-12,299,False
S8633275,C100035,monthly,2024-04-08,2024-05-06,299,True
S8899184,C100036,monthly,2024-06-09,2024-07-09,299,True
S2373555,C100037,monthly,2022-01-07,2022-02-07,299,False
S2882551,C100038,monthly,2024-02-17,2024-03-19,299,False
S3514105,C100039,annual,2024-04-05,2025-04-05,2999,True
S4446065,C100040,trial,2022-06-13,2022-06-27,0,True
S1933413,C100041,trial,2023-12-16,2023-12-23,0,False
S8757420,C100042,monthly,2023-03-09,2023-04-08,299,True
S7642917,C100042,annual,2023-05-21,2024-05-20,2999,False
S1759836,C100043,trial,2022-12-15,2022-12-29,0,True
S2157949,C100044,monthly,2022-10-12,2022-11-09,299,True
S3272119,C100045,annual,2022-06-09,2023-06-09,2999,True
S7282411,C100046,trial,2022-08-09,2022-08-23,0,False
S3231198,C100047,monthly,2024-02-21,2024-03-22,299,False
S7594429,C100048,trial,2022-12-11,2022-12-23,0,False
S1381435,C100049,trial,2022-04-15,2022-04-29,0,False
S9924365,C100049,monthly,2022-05-18,2022-06-17,299,True
S4162177,C100050,monthly,2022-04-05,2022-05-03,299,True
S1262492,C100051,monthly,2023-01-25,2023-02-12,299,False
S1816653,C100052,monthly,2022-04-10,2022-05-08,299,True
S4645172,C100053,annual,2023-01-03,2024-01-03,2999,True
S5853035,C100054,annual,2024-05-17,2024-12-04,2999,False
S6379867,C100055,monthly,2022-12-19,2023-01-19,299,True
S4708481,C100056,trial,2023-09-11,2023-09-20,0,False
S3938247,C100057,monthly,2022-09-28,2022-10-26,299,True
S7394713,C100058,monthly,2024-04-06,2024-05-07,299,False
S7315953,C100059,monthly,2022-02-14,2022-03-17,299,True
S6045519,C100060,annual,2024-01-18,2025-01-17,2999,False
S7987842,C100061,monthly,2023-04-16,2023-05-16,299,True
S2326581,C100062,monthly,2023-07-04,2023-08-03,299,True
S4195751,C100063,monthly,2022-05-08,2022-05-29,299,False
S2221118,C100064,trial,2023-01-23,2023-02-06,0,False
S4640933,C100065,trial,2022-03-22,2022-04-05,0,False
S4553544,C100066,monthly,2023-07-20,2023-08-19,299,False
S9034958,C100067,monthly,2022-10-28,2022-11-24,299,False
S5015307,C100068,annual,2024-04-29,2025-04-29,2999,True
S7027375,C100069,annual,2023-10-06,2024-10-05,2999,True
S8876742,C100070,monthly,2023-09-26,2023-10-27,299,True
S7944595,C100071,trial,2024-06-01,2024-06-15,0,True
S5375063,C100072,annual,2023-01-06,2024-01-06,2999,True
S4291551,C100073,monthly,2023-08-15,2023-09-15,299,True
S6663388,C100074,annual,2022-07-16,2023-07-16,2999,True
S9230828,C100075,trial,2023-12-23,2024-01-06,0,False
S9192588,C100076,trial,2022-03-13,2022-03-27,0,True
S9790328,C100077,monthly,2022-02-16,2022-03-19,299,False
S1107102,C100078,monthly,2023-11-09,2023-12-07,299,False
S1153368,C100079,monthly,2022-08-22,2022-09-22,299,False
S9106820,C100079,monthly,2022-10-05,2022-11-05,299,True
S1198826,C100080,annual,2024-03-02,2024-10-01,2999,False
S1287605,C100081,trial,2022-10-24,2022-11-07,0,False
S4007598,C100082,annual,2022-03-23,2023-03-23,2999,False
S9832465,C100083,trial,2024-05-25,2024-06-08,0,True
S7812009,C100084,monthly,2022-08-27,2022-09-26,299,True
S2352527,C100085,trial,2024-06-06,2024-06-20,0,True
S7799441,C100086,trial,2022-04-14,2022-04-28,0,True
S3875339,C100087,monthly,2023-01-25,2023-01-31,299,False
S2599906,C100088,annual,2022-10-12,2023-10-12,2999,False
S8977571,C100089,monthly,2023-04-10,2023-05-08,299,False
S1552000,C100090,trial,2023-10-13,2023-10-24,0,False
S4475536,C100090,annual,2023-11-04,2024-11-03,2999,True
S6021033,C100091,monthly,2024-05-04,2024-06-04,299,False
S7528964,C100091,annual,2024-06-14,2025-06-14,2999,True
S3347981,C100092,annual,2023-01-09,2024-01-09,2999,False
S6802559,C100093,monthly,2022-06-16,2022-07-08,299,False
S7655572,C100094,monthly,2023-01-15,2023-02-12,299,True
S8558977,C100094,monthly,2023-04-02,2023-04-13,299,False
S4116163,C100095,annual,2022-12-30,2023-12-30,2999,True
S5955645,C100096,trial,2022-08-03,2022-08-17,0,False
S7375341,C100097,trial,2023-11-18,2023-11-23,0,False
S7051545,C100098,annual,2022-10-01,2023-03-22,2999,False
S5525929,C100099,trial,2023-12-20,2024-01-03,0,True
S9597330,C100099,monthly,2024-01-09,2024-01-23,299,False
S6443037,C100100,annual,2023-12-01,2024-07-02,2999,False
S2421022,C100100,monthly,2024-08-26,2024-09-09,299,False
S7387623,C100101,monthly,2023-10-26,2023-11-23,299,True
S2061446,C100102,annual,2022-03-15,2023-03-15,2999,True
S2290526,C100102,monthly,2023-03-25,2023-04-24,299,True
S4280754,C100103,annual,2023-09-16,2024-09-15,2999,False
S6573679,C100104,trial,2023-10-13,2023-10-27,0,False
S8385715,C100104,monthly,2023-12-19,2024-01-19,299,False
S6379868,C100105,monthly,2022-06-25,2022-07-26,299,True
S7681351,C100106,trial,2023-07-01,2023-07-15,0,True
S5067204,C100107,trial,2024-01-17,2024-01-31,0,True
S4352088,C100108,monthly,2022-09-08,2022-10-08,299,False
S8744735,C100109,monthly,2022-06-17,2022-07-15,299,True
S2160289,C100110,annual,2023-04-19,2024-04-18,2999,True
S3335038,C100111,annual,2023-01-24,2024-01-24,2999,False
S7324856,C100112,monthly,2022-10-04,2022-11-03,299,False
S9499549,C100113,monthly,2023-10-18,2023-11-18,299,True
S7031903,C100114,trial,2023-12-06,2023-12-20,0,True
S2425760,C100115,annual,2023-07-25,2024-07-24,2999,False
S1743175,C100116,trial,2022-08-13,2022-08-27,0,True
S6563269,C100117,trial,2023-12-03,2023-12-17,0,True
S9567725,C100118,trial,2022-11-29,2022-12-04,0,False
S7276684,C100119,monthly,2024-05-13,2024-06-13,299,True
S3529080,C100120,trial,2024-02-26,2024-03-11,0,False
S2440404,C100121,monthly,2024-03-05,2024-03-19,299,False
S6755703,C100122,annual,2022-02-27,2023-02-27,2999,True
S8351204,C100123,monthly,2022-08-23,2022-09-23,299,True
S2930810,C100124,monthly,2024-04-21,2024-04-27,299,False
S3757404,C100125,trial,2022-02-02,2022-02-16,0,False
S3686631,C100126,trial,2024-04-04,2024-04-18,0,True
S4094587,C100127,monthly,2022-11-20,2022-12-20,299,True
S4310554,C100128,annual,2023-02-15,2024-02-15,2999,True
S5669851,C100129,monthly,2022-10-02,2022-10-12,299,False
S4136665,C100130,monthly,2022-03-09,2022-04-06,299,False
S9212178,C100131,trial,2022-08-05,2022-08-19,0,True
S2916496,C100132,monthly,2023-08-04,2023-09-03,299,False
S5990296,C100133,trial,2024-06-16,2024-06-30,0,True
S5002586,C100134,monthly,2024-01-06,2024-02-03,299,True
S7517332,C100135,annual,2022-11-19,2023-11-19,2999,True
S8097413,C100135,annual,2023-12-15,2024-12-14,2999,True
S3906397,C100136,monthly,2022-08-06,2022-09-06,299,False
S8566540,C100137,monthly,2023-11-03,2023-11-15,299,False
S3290672,C100138,trial,2023-05-27,2023-06-10,0,True
S9479842,C100138,trial,2023-06-22,2023-07-06,0,False
S8446596,C100139,monthly,2023-02-10,2023-03-13,299,False
S4699871,C100140,annual,2023-10-21,2024-10-20,2999,False
S8672579,C100141,monthly,2023-04-15,2023-05-13,299,True
S9569902,C100141,monthly,2023-06-18,2023-07-19,299,True
S7154919,C100142,monthly,2022-05-27,2022-06-26,299,False
S4666525,C100143,monthly,2022-09-29,2022-10-27,299,True
S5994727,C100144,trial,2022-05-23,2022-06-06,0,False
S6848151,C100144,annual,2022-07-31,2023-07-31,2999,True
S4975295,C100145,trial,2022-09-10,2022-09-24,0,False
S8183451,C100146,annual,2024-02-02,2025-02-01,2999,True
S1995859,C100147,trial,2023-07-29,2023-08-12,0,False
S6430006,C100148,annual,2023-07-06,2024-07-05,2999,True
S9630451,C100149,annual,2022-09-27,2023-09-27,2999,False
S7905438,C100150,trial,2024-02-04,2024-02-16,0,False
S3226183,C100151,annual,2023-08-22,2024-08-21,2999,False
S7588425,C100151,monthly,2024-09-05,2024-10-03,299,False
S7294347,C100152,annual,2023-03-15,2024-03-14,2999,False
S2561871,C100152,trial,2024-04-11,2024-04-21,0,False
S7191986,C100153,trial,2023-08-21,2023-09-04,0,False
S2562657,C100154,annual,2023-02-13,2024-02-13,2999,True
S2062512,C100155,annual,2023-01-06,2024-01-06,2999,False
S4554277,C100156,trial,2022-08-13,2022-08-27,0,True
S9142618,C100157,monthly,2022-05-22,2022-06-21,299,True
S2670586,C100158,annual,2023-06-06,2024-06-05,2999,True
S3650523,C100159,monthly,2023-05-21,2023-06-15,299,False
S3213134,C100160,annual,2022-04-04,2023-04-04,2999,True
S5597283,C100161,annual,2024-02-13,2024-12-20,2999,False
S3777050,C100162,monthly,2022-02-18,2022-03-09,299,False
S8201300,C100163,monthly,2024-05-31,2024-06-30,299,False
S2307594,C100164,annual,2022-04-23,2022-08-28,2999,False
S1155809,C100164,monthly,2022-09-05,2022-10-06,299,False
S3217531,C100165,monthly,2022-06-06,2022-07-04,299,True
S2718442,C100166,trial,2023-10-05,2023-10-19,0,False
S7420993,C100166,monthly,2023-10-25,2023-11-24,299,True
S2147756,C100167,monthly,2022-06-13,2022-07-11,299,False
S6891952,C100168,trial,2024-03-22,2024-04-05,0,True
S8421969,C100169,monthly,2023-11-28,2023-12-13,299,False
S7442986,C100170,monthly,2023-03-09,2023-03-17,299,False
S5646746,C100171,annual,2023-09-03,2024-09-02,2999,True
S5780177,C100172,trial,2022-03-07,2022-03-21,0,False
S6060836,C100172,trial,2022-05-09,2022-05-23,0,True
S5958372,C100173,trial,2023-01-30,2023-02-13,0,False
S9302838,C100174,trial,2023-01-26,2023-02-09,0,False
S2191383,C100174,monthly,2023-03-05,2023-04-02,299,False
S3214305,C100175,monthly,2023-09-03,2023-10-01,299,False
S3898604,C100176,monthly,2023-04-25,2023-05-26,299,True
S5398739,C100177,monthly,2023-06-26,2023-07-02,299,False
S9499515,C100178,annual,2022-09-15,2023-06-16,2999,False
S7969792,C100178,annual,2023-07-04,2024-07-03,2999,True
S3561552,C100179,monthly,2023-07-21,2023-08-18,299,True
S3606795,C100180,trial,2024-05-31,2024-06-11,0,False
S2109227,C100180,monthly,2024-07-15,2024-08-14,299,False
S5101689,C100181,monthly,2022-01-12,2022-02-12,299,True
S1923227,C100182,annual,2023-11-28,2024-07-14,2999,False
S3302031,C100183,monthly,2024-01-09,2024-02-09,299,True
S5349442,C100184,monthly,2022-04-28,2022-05-28,299,True
S5509119,C100184,monthly,2022-06-07,2022-06-29,299,False
S9788815,C100185,monthly,2023-11-30,2023-12-28,299,True
S9323974,C100186,trial,2023-07-04,2023-07-18,0,False
S3799805,C100187,trial,2024-02-08,2024-02-19,0,False
S2934976,C100188,monthly,2022-10-01,2022-10-29,299,False
S5102892,C100189,monthly,2024-02-27,2024-03-20,299,False
S1593302,C100190,annual,2023-10-19,2024-10-18,2999,True
S4766741,C100191,trial,2022-12-15,2022-12-29,0,False
S7254683,C100192,monthly,2022-04-25,2022-05-26,299,False
S1770553,C100193,monthly,2022-10-28,2022-11-18,299,False
S6212643,C100194,trial,2023-03-22,2023-04-05,0,True
S7189439,C100194,annual,2023-04-25,2023-10-31,2999,False
S7178606,C100195,monthly,2022-06-11,2022-07-11,299,True
S5112546,C100196,annual,2023-04-10,2024-04-09,2999,False
S1160974,C100197,monthly,2022-01-04,2022-01-21,299,False
S7312844,C100197,annual,2022-03-22,2023-03-22,2999,False
S4995789,C100198,annual,2024-01-10,2025-01-09,2999,True
S5694689,C100199,trial,2024-06-15,2024-06-27,0,False
S7249378,C100200,monthly,2024-01-07,2024-02-04,299,True
S3239990,C100200,monthly,2024-03-04,2024-03-12,299,False
S3192921,C100201,monthly,2022-09-27,2022-10-25,299,True
S7592651,C100202,trial,2023-05-28,2023-06-11,0,False
S2253047,C100203,monthly,2024-02-20,2024-03-21,299,True
S8542478,C100204,monthly,2022-07-02,2022-07-10,299,False
S4483557,C100205,monthly,2023-06-04,2023-07-02,299,False
S3644347,C100206,trial,2022-04-19,2022-05-03,0,True
S6499465,C100207,monthly,2024-06-10,2024-07-11,299,True
S1821255,C100208,monthly,2023-10-03,2023-10-31,299,True
S1521470,C100208,monthly,2023-12-13,2024-01-12,299,False
