customer_id,date,sessions,minutes_watched,courses_completed
C100000,2025-11-13,5,155,0
C100000,2025-10-16,9,198,0
C100000,2025-09-15,2,34,0
C100000,2025-08-16,3,69,1
C100000,2025-07-14,6,108,1
C100000,2025-06-18,3,12,0
C100000,2025-05-17,8,192,0
C100000,2025-04-19,9,108,1
C100000,2025-03-21,6,66,1
C100000,2025-02-15,5,150,0
C100000,2025-01-15,8,192,0
C100000,2024-12-18,3,0,0
C100001,2025-11-14,9,180,0
C100001,2025-10-13,5,170,0
C100001,2025-09-14,6,162,0
C100001,2025-08-14,7,259,0
C100001,2025-07-18,12,456,0
C100001,2025-06-16,7,133,1
C100001,2025-05-17,6,108,1
C100001,2025-04-20,11,99,0
C100001,2025-03-21,10,130,0
C100001,2025-02-14,6,156,1
C100001,2025-01-16,2,38,1
C100001,2024-12-16,3,117,1
C100002,2025-11-14,7,98,0
C100002,2025-10-16,5,150,0
C100002,2025-09-13,6,114,0
C100002,2025-08-13,6,138,0
C100002,2025-07-16,6,174,0
C100002,2025-06-18,1,15,1
C100002,2025-05-18,8,120,2
C100002,2025-04-19,6,156,0
C100002,2025-03-21,4,128,0
C100002,2025-02-14,6,138,0
C100002,2025-01-18,4,40,1
C100002,2024-12-17,7,322,0
C100003,2025-11-13,8,208,0
C100003,2025-10-12,8,136,0
C100003,2025-09-17,3,51,0
C100003,2025-08-17,10,90,1
C100003,2025-07-17,4,152,1
C100003,2025-06-17,10,280,1
C100003,2025-05-20,7,112,0
C100003,2025-04-19,7,294,1
C100003,2025-03-17,4,0,1
C100003,2025-02-18,6,84,1
C100003,2025-01-17,3,72,0
C100003,2024-12-18,3,69,1
C100004,2025-11-11,3,81,1
C100004,2025-10-16,7,56,1
C100004,2025-09-14,7,175,0
C100004,2025-08-16,7,98,0
C100004,2025-07-18,4,28,0
C100004,2025-06-19,9,27,0
C100004,2025-05-18,7,70,0
C100004,2025-04-16,4,96,1
C100004,2025-03-19,11,209,1
C100004,2025-02-15,4,40,0
C100004,2025-01-16,4,116,0
C100004,2024-12-17,2,16,2
C100005,2025-11-12,9,198,1
C100005,2025-10-15,6,162,1
C100005,2025-09-13,7,203,1
C100005,2025-08-15,7,98,1
C100005,2025-07-17,6,126,1
C100005,2025-06-17,3,66,1
C100005,2025-05-17,4,92,0
C100005,2025-04-15,5,105,0
C100005,2025-03-18,6,240,0
C100005,2025-02-18,4,32,0
C100005,2025-01-18,5,65,1
C100005,2024-12-19,3,81,1
C100006,2025-11-14,5,245,0
C100006,2025-10-15,8,224,1
C100006,2025-09-12,2,64,1
C100006,2025-08-17,12,228,0
C100006,2025-07-17,6,120,0
C100006,2025-06-14,2,0,0
C100006,2025-05-18,6,72,0
C100006,2025-04-20,2,30,1
C100006,2025-03-19,3,30,0
C100006,2025-02-15,4,100,0
C100006,2025-01-20,7,0,1
C100006,2024-12-18,6,126,0
C100007,2025-11-12,9,315,1
C100007,2025-10-13,5,100,0
C100007,2025-09-13,4,124,0
C100007,2025-08-17,5,120,0
C100007,2025-07-15,10,460,0
C100007,2025-06-18,3,57,0
C100007,2025-05-15,10,240,0
C100007,2025-04-18,12,396,1
C100007,2025-03-19,6,186,1
C100007,2025-02-15,4,104,0
C100007,2025-01-17,4,128,0
C100007,2024-12-19,7,231,1
C100008,2025-11-15,5,80,1
C100008,2025-10-13,2,48,1
C100008,2025-09-15,5,235,1
C100008,2025-08-15,7,161,0
C100008,2025-07-17,2,46,0
